statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,s-4vcpu-8gb-5-default-pool-8ag0qCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0qMemoryUsage,s-4vcpu-8gb-5-default-pool-8ag0cCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0cMemoryUsage,s-4vcpu-8gb-5-default-pool-8ag07CpuUsage,s-4vcpu-8gb-5-default-pool-8ag07MemoryUsage,s-4vcpu-8gb-5-default-pool-8ag0mCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0mMemoryUsage,s-4vcpu-8gb-5-default-pool-8ag0uCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0uMemoryUsage,functionInvocationRate
502,60.11500000953674,1623494030.331,1623494090.446,fc0a8f11-8bd5-4ad6-aca5-a4dbd3d30147,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.13800001144409,1623494031.331,1623494091.469,56c91467-1c31-47f4-bf99-0dd6b6ea4ade,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.133999824523926,1623494032.331,1623494092.465,13dc8662-eb49-4de0-9bbf-e8515dd76dca,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,31.20799994468689,1623494061.331,1623494092.539,b47eb7de-e54a-42ff-9d0d-f28fa6d9a6ac,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.11699986457825,1623494033.331,1623494093.448,2ce71070-70de-4949-b5fc-b79aef765b69,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.12999987602234,1623494034.332,1623494094.462,c808daf9-9303-4c8a-9cf3-39a160d2b8e6,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,8.23799991607666,1623494086.332,1623494094.57,f256f7ea-32fc-4890-be7c-9ec28499c710,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.11500000953674,1623494035.331,1623494095.446,9bfd7b27-283d-44e9-8443-a0a51dcccfb5,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,50.09299993515015,1623494046.331,1623494096.424,ea68186a-7769-4fcd-ab90-930e99615308,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.121999979019165,1623494036.331,1623494096.453,89f7fe74-1e06-4619-9392-71458c9c1d1f,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.13099980354309,1623494037.331,1623494097.462,ce7768d1-711f-47e2-94ea-d9c77e20deb1,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
